candidate_index,moment,effect,effect_estimate,paired_mcse,analytic_mcse,replication_index_mcse,relative_disagreement,agreement_pass,snr,sign,prefix_32_estimate,prefix_32_sign,prefix_sign_stable,dominant_event,dominant_event_share,effective_event_count
103,recovery_completion_hours_mean,C,-12.89965160472973,0.37134836811239558,0.3687517109869064,0.37134836811239558,0.0069925098599147462,True,34.737332145284689,-1,-13.421452702702704,-1,True,calibration__20210616T110000Z,0.1599855719291273,11.008445751111395
116,failed_recovery_attempts_mean,A,-0.0033783783783783786,0.00039280890517269848,0.00039280890517269848,0.00038942902670667572,0.0086043835094237551,True,8.6005646356033445,-1,-0.0042229729729729732,-1,True,calibration__20200511T090000Z,0.17998578030572338,10.200538762779248
116,failed_recovery_attempts_mean,AB,0.0031672297297297299,0.00040315954028803192,0.00039647827757123577,0.00040315954028803192,0.016572255023464939,True,7.8560207888592819,1,0.0040118243243243241,1,True,calibration__20200511T090000Z,0.17666969083676456,10.42597385715006
116,failed_recovery_attempts_mean,ABC,-0.0031672297297297299,0.00040315954028803192,0.00039647827757123577,0.00040315954028803192,0.016572255023464939,True,7.8560207888592819,-1,-0.0040118243243243241,-1,True,calibration__20200511T090000Z,0.17666969083676456,10.42597385715006
116,failed_recovery_attempts_mean,AC,0.0033783783783783786,0.00039280890517269848,0.00039280890517269848,0.00038942902670667572,0.0086043835094237551,True,8.6005646356033445,1,0.0042229729729729732,1,True,calibration__20200511T090000Z,0.17998578030572338,10.200538762779248
116,failed_recovery_attempts_mean,B,-0.24952491554054054,0.0047690071310140525,0.0047690071310140525,0.0044718027057641619,0.062319979208480411,True,52.322193841526733,-1,-0.25147804054054052,-1,True,calibration__20200802T100000Z,0.032842601225857519,55.85558234064753
116,failed_recovery_attempts_mean,BC,0.0034311655405405406,0.00042393074804476566,0.00042121783338376672,0.00042393074804476566,0.0063994288536779308,True,8.0936935015108205,1,0.0044341216216216214,1,True,calibration__20200511T090000Z,0.23913312310641191,9.0532429619389454
116,failed_recovery_attempts_mean,C,-0.0036423141891891893,0.00041776581305515511,0.00041776581305515511,0.00040982557038852808,0.019006444324774687,True,8.7185549304588896,-1,-0.0046452702702702705,-1,True,calibration__20200511T090000Z,0.24310138915079516,8.8518974824690275
116,first_six_hour_burden_mean,A,-0.00092436854113538797,0.00013316691037217141,0.00013316691037217141,0.00013138802787520512,0.013358292176297493,True,6.9414281562288025,-1,-0.00077773415827142351,-1,True,calibration__20210613T040000Z,0.25924528346952475,7.206762557275959
116,first_six_hour_burden_mean,AB,0.00092436854113538797,0.00013316691037217141,0.00013316691037217141,0.00013138802787520512,0.013358292176297493,True,6.9414281562288025,1,0.00077773415827142351,1,True,calibration__20210613T040000Z,0.25924528346952475,7.206762557275959
