contrast_order,contrast_type,anchor,family,metric,left_delay,right_delay,contrast_label,direction_multiplier,operationality,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share,discordant_positive,discordant_negative,classification
85,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,recognition_lag_mean,0,1,delay_1_minus_0,1,operational,78,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78,0,
86,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,recognition_lag_mean,0,1,delay_1_minus_0,1,operational,78,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78,0,
87,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,recognition_lag_mean,1,2,delay_2_minus_1,1,operational,78,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78,0,
88,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,recognition_lag_mean,1,2,delay_2_minus_1,1,operational,78,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78,0,
89,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,recognition_lag_mean,0,2,delay_2_minus_0,1,operational,78,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,78,0,
90,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,recognition_lag_mean,0,2,delay_2_minus_0,1,operational,78,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,78,0,
91,response_shape_classification,empirical_crypto__joint_crypto_high_correlation,,recognition_lag_mean,0,2,delay_2_minus_0,1,operational,78,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,78,0,monotonic_deterioration
92,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,recognition_lag_median,0,1,delay_1_minus_0,1,operational,78,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78,0,
93,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,recognition_lag_median,0,1,delay_1_minus_0,1,operational,78,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78,0,
94,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,recognition_lag_median,1,2,delay_2_minus_1,1,operational,78,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78,0,
