cell_order,cell_identifier,anchor,portfolio,shock,oracle_treatment,oracle_delay_steps,metric_order,metric,operationality,direction_multiplier,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,10,peak_false_unsafe_debt,operational,1,128,21640.186558972204,8071.003589648201,5821.01952326173,37459.353594682674,381.99003874220443,0.0,0.0,4387.493705779729,19284.55800735982,94145.07962843843,0.5390625
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,11,market_unsafe_debt_not_oracle_eligible_share,operational,1,128,0.23584502205679736,0.0226426731874757,0.19146538260934498,0.28022466150424974,0.1770026222985123,0.0,0.0,0.37140397589661656,0.5236509858396324,0.7440446479693515,0.609375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,12,oracle_unsafe_debt_already_market_safe_share,operational,1,128,0.13808498223827836,0.021402278900087873,0.09613651559410613,0.1800334488824506,0.005488821237836315,0.0,0.0,0.1881150189769129,0.44845582323302746,0.695473324245741,0.5390625
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,13,recognition_lag_mean,operational,1,78,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,14,recognition_lag_median,operational,1,78,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,15,recovery_staleness_mean,operational,1,66,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,16,recovery_staleness_median,operational,1,66,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,17,backlog_area_share,operational,1,128,0.053933530554058404,0.014010439201387535,0.026473069719338837,0.08139399138877797,0.0014131889788038447,0.0,0.0,0.028773536744297546,0.12647039537219912,0.26452483246559266,0.5859375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,18,maximum_unresolved_tab_share,operational,1,128,0.014832713723324228,0.003756387517450728,0.007470194189120801,0.022195233257527654,0.00039864965206780193,0.0,0.0,0.006396585032864213,0.036822157541653085,0.08557415729140185,0.5859375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,19,terminal_unresolved_tab_share,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
