pool_row_id,source_row,timestamp_utc,calibration_pool_label,regime_label,is_calibration,is_withheld_ftx,return_observation_valid,eth_price_usd,wbtc_price_usd,eth_log_return,wbtc_log_return,median_effective_gas_price_gwei,p90_effective_gas_price_gwei,p99_effective_gas_price_gwei,target_normalised_block_utilisation
6509,6509,2022-02-27T05:00:00Z,all_calibration,normal,True,False,True,2716.0233333333335,38668.930833333325,-0.0007296611877309,0.0004009189547122,28.200729183495888,35.839239443588504,72.55628497512338,1.0387753968930376
6510,6510,2022-02-27T06:00:00Z,all_calibration,normal,True,False,True,2728.8066666666664,38787.55333333334,0.0046955944707969,0.0030629480285799,26.20697807474132,34.17739190203325,81.2832394662723,1.0244816925605111
6511,6511,2022-02-27T07:00:00Z,all_calibration,normal,True,False,True,2744.800833333333,38903.56250000001,0.0058441209708117,0.002986422621003,30.402989387886592,44.9100907404085,88.54897280628724,1.027629867244661
6512,6512,2022-02-27T08:00:00Z,all_calibration,normal,True,False,True,2740.361666666667,38850.75583333335,-0.0016186093432404,-0.0013582956141213,28.990147656875976,38.227665623801926,59.5895128995188,1.0403027782364709
6513,6513,2022-02-27T09:00:00Z,all_calibration,normal,True,False,True,2753.4100000000003,38995.407500000016,0.0047502366902234,0.0037163509916986,28.60794713275124,37.883569795297646,69.2474648509265,1.0239483204320214
6514,6514,2022-02-27T10:00:00Z,all_calibration,normal,True,False,True,2774.275,39206.14333333332,0.0075493082890369,0.0053895694189964,29.29859899372484,47.18083374302002,78.18759469083005,1.020764549341442
6515,6515,2022-02-27T11:00:00Z,all_calibration,normal,True,False,True,2810.2474999999995,39524.302500000005,0.0128831059563365,0.008082283676444,29.033570332004818,42.128932813404234,87.38657920276029,1.041240727047508
6516,6516,2022-02-27T12:00:00Z,all_calibration,normal,True,False,True,2820.377499999999,39565.45500000001,0.0035981834802916,0.0010406531772169,27.35078047263007,35.1262456531447,70.4540153733131,1.0275372669327407
6517,6517,2022-02-27T13:00:00Z,all_calibration,normal,True,False,True,2810.7058333333343,39554.04166666668,-0.0034351031958026,-0.0002885087467259,34.10144328616019,44.45936938150451,90.67459705796536,1.0462307846382295
6518,6518,2022-02-27T14:00:00Z,all_calibration,stress,True,False,True,2776.959166666665,39179.48083333333,-0.0120791339438905,-0.0095147186911255,41.29235960885805,57.464806768498434,105.8231028023514,1.030305772615653
6519,6519,2022-02-27T15:00:00Z,all_calibration,normal,True,False,True,2783.4941666666655,39168.243333333325,0.0023505288569332,-0.0002868621953382,30.738996872144536,43.8532826830902,95.0763921744217,1.01311668485896
6520,6520,2022-02-27T16:00:00Z,all_calibration,normal,True,False,True,2791.3175,39267.53999999999,0.0028066736373357,0.0025319239636054,37.68209433338929,53.057329375318595,95.12708731566045,1.0474698209159934
6521,6521,2022-02-27T17:00:00Z,all_calibration,normal,True,False,True,2777.955,39211.03833333332,-0.0047986610968235,-0.0014399260952249,54.39214560900907,69.35813529990156,97.73480146685858,1.0345740022961334
6522,6522,2022-02-27T18:00:00Z,all_calibration,normal,True,False,True,2763.1583333333333,39121.1375,-0.0053406963355646,-0.0022953753511618,43.94401495068239,57.75373161579259,86.63147447602739,1.0147514135975997
6523,6523,2022-02-27T19:00:00Z,all_calibration,stress,True,False,True,2714.2708333333335,38799.45250000002,-0.0178510015213255,-0.0082567862373199,53.22961596598169,75.0808366022704,109.73976733504684,1.041458348630401
6524,6524,2022-02-27T20:00:00Z,all_calibration,stress,True,False,True,2630.0191666666674,37951.805833333354,-0.0315322137708831,-0.0220890484543332,71.69675929036279,107.1557703910509,177.91101519058265,1.0461837238870062
6525,6525,2022-02-27T21:00:00Z,all_calibration,stress,True,False,True,2620.199166666666,37780.28416666667,-0.0037408011735724,-0.0045297035891422,105.70123120932296,168.22445781774917,260.40094420117083,1.017439521135907
6526,6526,2022-02-27T22:00:00Z,all_calibration,normal,True,False,True,2619.0708333333328,37717.380833333336,-0.0004307215893728,-0.001666365387301,65.27914805506852,85.95238216301723,148.21783216599562,1.0149083924214792
6527,6527,2022-02-27T23:00:00Z,all_calibration,normal,True,False,True,2613.460833333334,37743.02083333333,-0.0021442783367247,0.0006795617415331,48.095307232023885,60.01056256744235,117.0916557926124,1.0371985221597078
