arrival_pool_row_id,relative_hour,timestamp_utc,source_window,empirical_regime_label,liquidatable_vault_count,liquidatable_share,bark_count,grab_count,activity_indicator,positive_count_eligible,sequence_id
187,186,2022-05-12T18:00:00+0000,terra_cefi,terra_cefi,2,0.0004599816007359,0,0,0,0,
188,187,2022-05-12T19:00:00+0000,terra_cefi,terra_cefi,3,0.0006891798759476,0,0,0,0,
189,188,2022-05-12T20:00:00+0000,terra_cefi,terra_cefi,1,0.0002296738631143,1,1,1,1,
190,189,2022-05-12T21:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
191,190,2022-05-12T22:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
192,191,2022-05-12T23:00:00+0000,terra_cefi,terra_cefi,0,0.0,1,1,1,1,
193,192,2022-05-13T00:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
194,193,2022-05-13T01:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
195,194,2022-05-13T02:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
196,195,2022-05-13T03:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
197,196,2022-05-13T04:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
198,197,2022-05-13T05:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
199,198,2022-05-13T06:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
200,199,2022-05-13T07:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
201,200,2022-05-13T08:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
202,201,2022-05-13T09:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
203,202,2022-05-13T10:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
204,203,2022-05-13T11:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
205,204,2022-05-13T12:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
206,205,2022-05-13T13:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
207,206,2022-05-13T14:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
208,207,2022-05-13T15:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
