cell_identifier,recovery_path,confidence_scenario,metric,replication_count,mean,standard_error,ci_lower,ci_upper,median,q25,q75,q05,q95,censoring_share,numerical_valid_count
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,below_peg_burden,128,356.97138286805887,0.4987053158481853,355.99392044899645,357.9488452871213,357.9847360072431,355.97196985795784,360.0,351.92241953732224,360.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,restricted_mean_recovery_time,128,714.59375,5.406249999999999,703.9975,725.19,720.0,720.0,720.0,720.0,720.0,0.9921875,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,recovery_probability_168h,128,0.0078125,0.0078125,-0.0075,0.023125,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,recovery_probability_720h,128,0.0078125,0.0078125,-0.0075,0.023125,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,maximum_unresolved_tab_dai,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,cumulative_realised_bad_debt_dai,128,8.246528460098546e-13,5.574898038659731e-14,7.153848444521239e-13,9.339208475675853e-13,5.062616992290714e-13,5.062616992290714e-13,1.0125233984581428e-12,0.0,2.0250467969162855e-12,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,recovery_probability_48h,128,0.0078125,0.0078125,-0.0075,0.023125,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,recovery_probability_336h,128,0.0078125,0.0078125,-0.0075,0.023125,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,minimum_dai_price,128,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,maximum_negative_peg_deviation,128,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,mean_absolute_peg_deviation,128,0.49579571625187063,0.00069196672253149,0.4944394614757089,0.4971519710280324,0.4972010222322821,0.49440672003682123,0.5,0.48878900110306245,0.5,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,hours_below_0995,128,716.140625,0.8963051874502327,714.3838668325975,717.8973831674025,720.0,716.0,720.0,708.0,720.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,hours_above_1005,128,0.015625,0.015625,-0.015,0.04625,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,first_return_time,128,714.3828125,5.6171875,703.373125,725.3925,720.0,720.0,720.0,720.0,720.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,failed_recovery_attempts,128,0.0078125,0.0078125,-0.0075,0.023125,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,final_dai_price,128,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,final_peg_band_status,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,peak_liquidatable_vaults,128,99.625,0.05433926670016637,99.51849503726767,99.73150496273233,100.0,99.0,100.0,98.0,100.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,peak_share_liquidatable,128,0.9962500000000001,0.0005433926670016644,0.9951849503726768,0.9973150496273233,1.0,0.99,1.0,0.98,1.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,cumulative_debt_repaid_dai,128,496354.1397514249,1007.4918230515577,494379.45577824384,498328.82372460596,496922.0353552569,489436.4204032974,503550.28510830115,477337.64880826883,517693.6199686851,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,completed_liquidation_count,128,99.625,0.05433926670016637,99.51849503726767,99.73150496273233,100.0,99.0,100.0,98.0,100.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,unprofitable_attempt_count,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,capacity_rejected_opportunities,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,unresolved_tab_at_horizon_dai,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,active_bad_debt_at_horizon_dai,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,maximum_active_bad_debt_dai,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
