cell_order,cell_identifier,anchor,portfolio,shock,capacity,metric_order,metric,operationality,direction_multiplier,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,4,liquidation_completion_ratio,operational,-1,41,0.8514027326848193,0.04813236551831138,0.757063296268929,0.9457421691007095,0.9984010299037842,0.01648043485340466,0.9075174168699214,1.0,1.0,1.0000000000000002,0.975609756097561
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,5,capacity_rejected_opportunity_count,operational,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,6,capacity_rejection_share,operational,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,7,successful_closure_count,operational,-1,128,4.1796875,0.9853399825039156,2.2484211342923253,6.110953865707675,0.0,0.0,0.0,2.0,13.299999999999997,25.199999999999932,0.3125
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,8,liquidated_debt_share,operational,-1,128,0.010240531467429322,0.0033647776657824086,0.003645567242495801,0.016835495692362843,0.0,0.0,0.0,0.0003814964122954016,0.010353158861666453,0.08006145589216047,0.3125
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,9,debt_weighted_liquidated_vault_share,operational,-1,128,0.010240531467429322,0.0033647776657824086,0.003645567242495801,0.016835495692362843,0.0,0.0,0.0,0.0003814964122954016,0.010353158861666453,0.08006145589216047,0.3125
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,10,hours_with_positive_unresolved_backlog,operational,1,128,7.234375,2.0830589037592073,3.151579548631954,11.317170451368046,0.0,0.0,0.0,2.25,20.599999999999994,35.64999999999999,0.2890625
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,11,capacity_binding_hours,operational,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,12,mean_capacity_utilisation,operational,1,128,0.00022352430555555553,5.375432459720153e-05,0.00011816582934504054,0.0003288827817660705,0.0,0.0,0.0,6.944444444444444e-05,0.0005123456790123455,0.0017114197530864162,0.3125
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,13,maximum_capacity_utilisation,operational,1,128,0.03576388888888889,0.006737892225132697,0.0225576201276288,0.04897015765014898,0.0,0.0,0.0,0.044444444444444446,0.1177777777777777,0.19222222222222204,0.3125
