cell_order,cell_identifier,anchor,portfolio,shock,capacity,family_order,family,metric_order,metric,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,3,STABLE,20,displaced_candidates,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,3,STABLE,21,cross_family_displacement_hours,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,1,initial_debt_exposure,128,2120985.2816991024,4.000865136176992e-11,2120985.2816991024,2120985.2816991024,2120985.281699102,2120985.281699102,2120985.281699102,2120985.281699102,2120985.2816991024,2120985.2816991024,1.0
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,2,eligible_liquidation_tab,128,94546.68342380226,19451.023094436958,56422.67815870582,132670.6886888987,2063.3265766332042,0.0,0.0,43636.05385029166,329009.06725100876,636662.4784583048,0.6015625
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,3,candidate_count,128,101.375,21.348339500051257,59.532254579899536,143.21774542010047,6.0,0.0,0.0,79.25,264.5999999999999,455.099999999999,0.6015625
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,4,profitability_filtered_count,128,53.875,9.894454075728124,34.48187001157288,73.26812998842712,5.0,0.0,0.0,62.0,154.2,232.0,0.6015625
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,5,selected_count,128,21.03125,4.064682749469949,13.064471811038901,28.9980281889611,2.0,0.0,0.0,20.0,54.499999999999986,103.89999999999995,0.59375
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,6,rejected_count,128,0.140625,0.0977945624857111,-0.05105234247199375,0.33230234247199375,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,7,successful_closure_count,128,11.984375,1.9099429143041398,8.240886887963885,15.727863112036115,1.5,0.0,0.0,15.25,36.599999999999994,53.599999999999966,0.59375
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,8,liquidated_debt,128,89322.62185841065,18997.14447909106,52088.21867939217,126557.02503742914,1507.3566528523097,0.0,0.0,35169.17206255859,327777.45744661475,612165.1158513271,0.59375
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,9,terminal_unresolved_tab,128,4.706829114364701,3.161554917701435,-1.4898185243301114,10.903476753059513,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,10,backlog_area,128,172318.85300002104,53981.64486193714,66514.82907062426,278122.87692941783,1954.6664419009774,0.0,0.0,69961.45623678365,321560.7759605107,944451.9431982886,0.5625
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,11,maximum_backlog,128,45539.88241361958,11487.280498342061,23024.812636869145,68054.95219037002,572.1451148948393,0.0,0.0,16920.52556259381,98184.83869932762,333749.5070266645,0.5625
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,12,terminal_active_bad_debt,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,13,realised_bad_debt,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,14,keeper_profit_proxy,128,11379.779678516403,2443.2940382540773,6590.923363538412,16168.635993494394,113.30533142139092,0.0,0.0,4382.571532995551,41621.428163131866,78881.56217835323,0.59375
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,15,share_system_capacity_consumed,78,0.8814499187140766,0.023113117034994093,0.8361482093254882,0.9267516281026651,0.9468984962406015,0.47500000000000003,0.8722222222222222,1.0,1.0,1.0,0.9743589743589743
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,16,share_system_rejections,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,17,contribution_to_system_backlog,74,0.8120364121764228,0.031562549411322215,0.7501738153302312,0.8738990090226143,0.9433154653797133,0.09842916315301613,0.6961527453636847,1.0,1.0,1.0,0.972972972972973
2,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,26,1,ETH,18,exposure_normalised_backlog,128,0.08124471889874596,0.025451211438248605,0.031360344479778694,0.13112909331771322,0.0009215841612701393,0.0,0.0,0.032985356777553,0.15160915011296605,0.44528924898606403,0.5625
