contrast_type,shock,portfolio,left_portfolio,right_portfolio,contrast,metric,direction_multiplier,operationality,reversal_flag,pair_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,paired_probability_difference,discordant_left_one_right_zero,discordant_left_zero_right_one,empirical_discordant_left_one_right_zero,empirical_discordant_left_zero_right_one,high_correlation_discordant_left_one_right_zero,high_correlation_discordant_left_zero_right_one
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,balanced_crypto,stable_supported - balanced_crypto,backlog_area_share,1,operational,,128,-0.0117217760362,0.0108553116346,-0.0329981868401,0.00955463476758,0,-0.127397228296,-0.00384278953614,0,0.00270936208555,0.0185742275759,-0.591890330712,1.06790430868,0.1640625,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,balanced_crypto,stable_supported - balanced_crypto,liquidated_debt_share,1,operational,,128,-0.00336248440587,0.0036307552095,-0.0104787646165,0.00375379580476,0,-0.0452389711589,-0.00229557022085,0,0.000663373910748,0.00593503452833,-0.283983747106,0.22393991772,0.1796875,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,balanced_crypto,stable_supported - balanced_crypto,debt_weighted_liquidated_vault_share,1,operational,,128,-0.00336248440587,0.0036307552095,-0.0104787646165,0.00375379580476,0,-0.0452389711589,-0.00229557022085,0,0.000663373910748,0.00593503452833,-0.283983747106,0.22393991772,0.1796875,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,balanced_crypto,stable_supported - balanced_crypto,successful_closure_count,1,operational,,128,-2.4921875,0.616776219739,-3.70106889069,-1.28330610931,0,-14.65,-4,0,1,2.65,-32,26,0.1328125,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,balanced_crypto,stable_supported - balanced_crypto,capacity_rejected_opportunities,1,operational,,128,-0.0703125,0.0703125,-0.208125,0.0675,0,0,0,0,0,0,-9,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,balanced_crypto,stable_supported - balanced_crypto,below_peg_burden,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,balanced_crypto,stable_supported - balanced_crypto,mean_absolute_peg_deviation,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,balanced_crypto,stable_supported - balanced_crypto,minimum_dai_price,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,balanced_crypto,stable_supported - balanced_crypto,restricted_mean_recovery_time,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,balanced_crypto,stable_supported - balanced_crypto,recovery_probability_720h,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
direction_normalised_advantage,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,"advantage(empirical_crypto, joint_crypto_empirical_stress)",realised_bad_debt_share,-1,degenerate,,128,1.8998146777e-21,1.29815741743e-21,-6.44573860461e-22,4.44420321586e-21,0,0,-0,0,0,1.7355340175e-20,-6.37268573157e-20,1.21103593167e-19,0.078125,,,,,,,
direction_normalised_advantage,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,"advantage(empirical_crypto, joint_crypto_empirical_stress)",positive_realised_bad_debt,-1,degenerate,,128,0,0,0,0,0,0,-0,0,0,-0,-0,-0,0,0,0,0,,,,
direction_normalised_advantage,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,"advantage(empirical_crypto, joint_crypto_empirical_stress)",active_bad_debt_share,-1,degenerate,,128,0,0,0,0,0,0,-0,0,0,-0,-0,-0,0,,,,,,,
