cell_order,cell_identifier,shock,portfolio,metric,valid_replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,censoring_count,numerical_failure_count
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,positive_realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,active_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,unresolved_tab_share,128,2.12990417751e-06,2.07073634497e-06,-1.92873905863e-06,6.18854741365e-06,0,0,0,0,0,0,0,0.00026500463858,0.015625,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,backlog_area_share,128,0.0373118204182,0.00895326659666,0.0197634178887,0.0548602229476,0,0,0,0.00936800662701,0.129602238279,0.277557615609,0,0.67213023231,0.421875,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,liquidated_debt_share,128,0.0240290260578,0.00540669859828,0.0134318968052,0.0346261553104,0,0,0,0.00561720546137,0.102528344209,0.144153936884,0,0.324635590841,0.4375,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,debt_weighted_liquidated_vault_share,128,0.0240290260578,0.00540669859828,0.0134318968052,0.0346261553104,0,0,0,0.00561720546137,0.102528344209,0.144153936884,0,0.324635590841,0.4375,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,successful_closure_count,128,11.0625,2.13383267383,6.88018795929,15.2448120407,0,0,0,9,34.5,68.2,0,119,0.4375,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,capacity_rejected_opportunities,128,0.03125,0.03125,-0.03,0.0925,0,0,0,0,0,0,0,4,0.0078125,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,below_peg_burden,128,0.26560363519,0.00454375447907,0.256697876411,0.274509393969,0.254728497773,0.189281453855,0.232235770874,0.299472255215,0.332279117942,0.348203949937,0.155835511292,0.423072833411,1,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,mean_absolute_peg_deviation,128,0.000614587264255,6.67212632206e-06,0.000601509896664,0.000627664631846,0.00061630151029,0.000482684860298,0.000561703447088,0.000657458893457,0.000723641570608,0.000760465596399,0.000445143471598,0.000781800612311,1,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,minimum_dai_price,128,0.995938327338,8.56288888862e-05,0.995770494716,0.99610615996,0.996036108228,0.994228414818,0.995192536345,0.996519817597,0.997253210565,0.997434173715,0.993694577318,0.997842442371,1,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,restricted_mean_recovery_time,128,62.2734375,13.9068439772,35.0160233048,89.5308516952,0,0,0,0,318.2,473.65,0,720,0.1796875,1,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,recovery_probability_720h,128,0.9921875,0.0078125,0.976875,1.0075,1,1,1,1,1,1,0,1,0.9921875,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,positive_demand_hours,128,10.03125,2.14960676396,5.81802074264,14.2444792574,0,0,0,6.5,20.9,74.65,0,120,0.4375,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,binding_hours,128,0.0078125,0.0078125,-0.0075,0.023125,0,0,0,0,0,0,0,1,0.0078125,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,mean_capacity_utilisation,128,0.00133547008547,0.000287138295456,0.000772679026377,0.00189826114456,0,0,0,0.000761217948718,0.00343482905983,0.00955662393162,0,0.0191239316239,0.4375,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,maximum_capacity_utilisation,128,0.122596153846,0.0190202265548,0.0853165097988,0.159875797893,0,0,0,0.153846153846,0.423076923077,0.638461538462,0,1,0.4375,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,maximum_simultaneously_unsafe_families,128,0.453125,0.0441724193686,0.366547058038,0.539702941962,0,0,0,1,1,1,0,1,0.453125,0,0
5,wbtc_idiosyncratic_severe__eth_only,wbtc_idiosyncratic_severe,eth_only,maximum_backlog_duration,128,14.90625,3.66960135463,7.71383134493,22.0986686551,0,0,0,6,33.7,99.3,0,263,0.421875,0,0
6,wbtc_idiosyncratic_severe__empirical_crypto,wbtc_idiosyncratic_severe,empirical_crypto,realised_bad_debt_share,128,6.13959888812e-23,6.13959888812e-23,-5.89401493259e-23,1.81732127088e-22,0,0,0,0,0,0,0,7.85868657679e-21,0.0078125,0,0
