shock,left_portfolio,right_portfolio,contrast,metric,pair_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,discordant_left_one_right_zero,discordant_left_zero_right_one
wbtc_idiosyncratic_severe,stable_supported,balanced_crypto,stable_supported - balanced_crypto,backlog_area_share,128,-0.0106114809303,0.00582269665141,-0.022023966367,0.000801004506496,0,-0.0676017665707,-0.00116527265068,0,0,0.00146209454125,-0.562445047118,0.265680062803,0.078125,,
wbtc_idiosyncratic_severe,stable_supported,balanced_crypto,stable_supported - balanced_crypto,liquidated_debt_share,128,-0.00465312616024,0.00157726210379,-0.00774455988368,-0.00156169243681,0,-0.0267048611921,-0.000845347744649,0,0,0.000208398154756,-0.12627974324,0.041009814357,0.0703125,,
wbtc_idiosyncratic_severe,stable_supported,balanced_crypto,stable_supported - balanced_crypto,debt_weighted_liquidated_vault_share,128,-0.00465312616024,0.00157726210379,-0.00774455988368,-0.00156169243681,0,-0.0267048611921,-0.000845347744649,0,0,0.000208398154756,-0.12627974324,0.041009814357,0.0703125,,
wbtc_idiosyncratic_severe,stable_supported,balanced_crypto,stable_supported - balanced_crypto,successful_closure_count,128,-2.6640625,0.574138920445,-3.78937478407,-1.53875021593,0,-12.65,-2.25,0,0,0,-44,7,0.046875,,
wbtc_idiosyncratic_severe,stable_supported,balanced_crypto,stable_supported - balanced_crypto,capacity_rejected_opportunities,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,stable_supported,balanced_crypto,stable_supported - balanced_crypto,below_peg_burden,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,stable_supported,balanced_crypto,stable_supported - balanced_crypto,mean_absolute_peg_deviation,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,stable_supported,balanced_crypto,stable_supported - balanced_crypto,minimum_dai_price,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,stable_supported,balanced_crypto,stable_supported - balanced_crypto,restricted_mean_recovery_time,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wbtc_idiosyncratic_severe,stable_supported,balanced_crypto,stable_supported - balanced_crypto,recovery_probability_720h,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
